Summary Level	Geographic Component	State FIPS	Place FIPS	County FIPS	Tract	Zip	Block	Name	Latitude	Longitude	Land Area	Water Area	Population	Housing Units
080	00	06	00562	001	427100			Census Tract 4271	37.764728	-122.230790	982120	192938	3497	1450
080	00	06	00562	001	427200			Census Tract 4272	37.772478	-122.248837	1351783	634506	4221	1725
080	00	06	00562	001	427300			Census Tract 4273	37.780178	-122.269745	1961371	827937	4760	2139
080	00	06	00562	001	427400			Census Tract 4274	37.786399	-122.286045	1835659	214785	1252	583
080	00	06	00562	001	427500			Census Tract 4275	37.784279	-122.301242	6628359	8707404	545	409
080	00	06	00562	001	427600			Census Tract 4276	37.777161	-122.285451	586456	0	5079	1765
080	00	06	00562	001	427700			Census Tract 4277	37.772328	-122.284629	1014041	2860905	5130	2532
080	00	06	00562	001	427800			Census Tract 4278	37.771878	-122.269829	842916	0	4715	2133
080	00	06	00562	001	427900			Census Tract 4279	37.770378	-122.258813	886114	0	4658	2254
080	00	06	00562	001	428000			Census Tract 4280	37.766928	-122.247979	541588	0	2901	1406
080	00	06	00562	001	428100			Census Tract 4281	37.759428	-122.235060	991805	28854	4490	2066
080	00	06	00562	001	428200			Census Tract 4282	37.755461	-122.239738	1379411	689270	6132	2754
080	00	06	00562	001	428301			Census Tract 4283.01	37.733199	-122.240056	4357043	5255781	6247	2503
080	00	06	00562	001	428302			Census Tract 4283.02	37.743727	-122.247780	2196612	608733	7451	2714
080	00	06	00562	001	428400			Census Tract 4284	37.760278	-122.250079	820793	3139138	4496	2020
080	00	06	00562	001	428500			Census Tract 4285	37.761195	-122.260803	686674	3817941	3298	1559
080	00	06	00562	001	428600			Census Tract 4286	37.765478	-122.269008	897637	4543978	3387	1632
080	00	06	06000	001	423300			Census Tract 4233	37.857976	-122.283798	712101	0	3468	1580
080	00	06	06000	001	423400			Census Tract 4234	37.857726	-122.277034	738506	0	4653	2096
080	00	06	06000	001	423500			Census Tract 4235	37.858976	-122.268958	618650	0	2967	1422
080	00	06	06000	001	423601			Census Tract 4236.01	37.859326	-122.258775	519468	0	2700	1308
080	00	06	06000	001	423800			Census Tract 4238	37.855226	-122.245142	1055276	0	3120	1389
080	00	06	06000	001	423901			Census Tract 4239.01	37.852176	-122.268067	375382	0	1942	890
080	00	06	06000	001	423902			Census Tract 4239.02	37.854526	-122.258142	336986	0	1553	794
080	00	06	06000	001	424001			Census Tract 4240.01	37.849726	-122.275481	494900	0	3875	1578
080	00	06	06000	001	424002			Census Tract 4240.02	37.850076	-122.282236	322839	0	1998	847
080	00	06	99999	001	423700			Census Tract 4237 (part)	37.859209	-122.244089	5029	0	0	0
080	00	06	53000	001	430100			Census Tract 4301 (part)	37.801561	-122.163568	103846	0	7	3
080	00	06	68084	001	432100			Census Tract 4321	37.734829	-122.145596	1054847	0	3607	1465
080	00	06	68084	001	432200			Census Tract 4322	37.732362	-122.155386	1015930	0	3939	1673
080	00	06	68084	001	432300			Census Tract 4323	37.729829	-122.165276	1031946	0	3282	1366
080	00	06	68084	001	432400			Census Tract 4324	37.710430	-122.182059	6154615	2158598	5411	1844
080	00	06	68084	001	432500			Census Tract 4325	37.719529	-122.168276	2178414	0	8676	2887
080	00	06	68084	001	432600			Census Tract 4326	37.721929	-122.155319	1680858	0	6401	2897
080	00	06	68084	001	432700			Census Tract 4327	37.726879	-122.141963	816177	0	2408	1075
080	00	06	68084	001	433000			Census Tract 4330	37.714029	-122.134273	1294337	0	3371	1470
080	00	06	68084	001	433101			Census Tract 4331.01	37.711980	-122.144644	1753384	0	7067	3336
080	00	06	22594	001	425100			Census Tract 4251	37.835926	-122.287253	3156884	1829152	6882	4274
080	00	06	53000	001	400100			Census Tract 4001	37.860659	-122.229488	6799198	0	2498	1177
080	00	06	53000	001	400200			Census Tract 4002	37.848476	-122.250632	659615	0	1910	873
080	00	06	53000	001	400300			Census Tract 4003	37.840626	-122.255531	1074640	0	4878	2567
080	00	06	53000	001	400400			Census Tract 4004	37.848176	-122.258791	696057	0	3659	1880
080	00	06	53000	001	400500			Census Tract 4005	37.848626	-122.264679	576343	0	3410	1592
080	00	06	53000	001	400600			Census Tract 4006	37.841776	-122.264282	315297	0	1707	746
080	00	06	53000	001	400700			Census Tract 4007	37.842976	-122.273712	852890	0	4451	1901
080	00	06	53000	001	400800			Census Tract 4008	37.844714	-122.283764	726605	0	3368	1420
080	00	06	53000	001	400900			Census Tract 4009	37.839626	-122.281850	431231	0	2456	1116
080	00	06	53000	001	401000			Census Tract 4010	37.831977	-122.273213	1166661	0	5709	2475
080	00	06	53000	001	401100			Census Tract 4011	37.830777	-122.265640	880448	0	4007	2039
080	00	06	53000	001	401200			Census Tract 4012	37.830177	-122.258420	660659	0	2432	1237
080	00	06	53000	001	401300			Census Tract 4013	37.818927	-122.267396	839208	0	2810	1454
080	00	06	53000	001	401400			Census Tract 4014	37.820495	-122.272732	755108	0	4765	1681
080	00	06	53000	001	401500			Census Tract 4015	37.823260	-122.281229	468490	0	2413	1026
080	00	06	53000	001	401600			Census Tract 4016	37.817727	-122.281949	633361	0	1933	668
080	00	06	53000	001	401700			Census Tract 4017	37.817379	-122.297362	5893809	10694655	1878	645
080	00	06	53000	001	401800			Census Tract 4018	37.810027	-122.298229	301564	0	1953	754
080	00	06	53000	001	401900			Census Tract 4019	37.805691	-122.314924	4430134	1362255	759	244
080	00	06	53000	001	402000			Census Tract 4020	37.799777	-122.284968	1128927	472370	28	12
080	00	06	53000	001	402100			Census Tract 4021	37.806827	-122.290363	274456	0	1161	715
080	00	06	53000	001	402200			Census Tract 4022	37.810094	-122.293647	273219	0	1844	656
080	00	06	53000	001	402300			Census Tract 4023	37.812677	-122.289271	420643	0	453	179
080	00	06	53000	001	402400			Census Tract 4024	37.813027	-122.282529	325496	0	2588	1141
080	00	06	53000	001	402500			Census Tract 4025	37.805827	-122.286311	369074	0	1779	711
080	00	06	53000	001	402600			Census Tract 4026	37.804440	-122.280022	290881	0	977	506
080	00	06	53000	001	402700			Census Tract 4027	37.810527	-122.277762	369668	0	1946	713
080	00	06	53000	001	402800			Census Tract 4028	37.808677	-122.271725	379216	0	1910	1356
080	00	06	53000	001	402900			Census Tract 4029	37.808277	-122.267351	386655	0	1291	921
080	00	06	53000	001	403000			Census Tract 4030	37.800477	-122.270616	335995	0	2734	1551
080	00	06	53000	001	403100			Census Tract 4031	37.802877	-122.276528	345864	0	1647	480
080	00	06	53000	001	403200			Census Tract 4032	37.797101	-122.276063	513599	194974	63	47
080	00	06	53000	001	403300			Census Tract 4033	37.796028	-122.267430	908967	127977	2310	957
080	00	06	53000	001	403400			Census Tract 4034	37.803027	-122.263178	671004	573323	3697	2518
080	00	06	53000	001	403500			Census Tract 4035	37.817327	-122.260072	834826	0	6346	3800
080	00	06	53000	001	403600			Census Tract 4036	37.814077	-122.255086	385423	0	4400	2671
080	00	06	53000	001	403700			Census Tract 4037	37.810727	-122.255304	369193	0	4652	3297
080	00	06	53000	001	403800			Census Tract 4038	37.814377	-122.242307	688424	0	3453	1945
080	00	06	53000	001	403900			Census Tract 4039	37.817427	-122.250068	506543	0	3794	2257
080	00	06	53000	001	404000			Census Tract 4040	37.823627	-122.255017	367282	0	2885	1832
080	00	06	53000	001	404100			Census Tract 4041	37.829477	-122.251767	802525	0	5337	3474
080	00	06	53000	001	404200			Census Tract 4042	37.837626	-122.228959	2739143	0	3176	1374
080	00	06	53000	001	404300			Census Tract 4043	37.845076	-122.239291	1828310	25273	3089	1336
080	00	06	53000	001	404400			Census Tract 4044	37.841726	-122.213197	4090053	0	4699	2163
080	00	06	53000	001	404501			Census Tract 4045.01	37.825209	-122.213312	1093304	18100	1575	685
080	00	06	53000	001	404502			Census Tract 4045.02	37.834859	-122.202323	3101479	0	5493	2412
080	00	06	53000	001	404600			Census Tract 4046	37.824026	-122.191823	4961442	0	4296	1782
080	00	06	53000	001	404700			Census Tract 4047	37.812344	-122.206784	1246646	0	1927	809
080	00	06	53000	001	404800			Census Tract 4048	37.806327	-122.212510	618034	0	2683	1272
080	00	06	53000	001	404900			Census Tract 4049	37.802277	-122.222819	1051420	0	4356	2023
080	00	06	53000	001	405000			Census Tract 4050	37.807327	-122.228719	846275	0	3204	1604
080	00	06	53000	001	405100			Census Tract 4051	37.812027	-122.232585	1236790	0	4161	1614
080	00	06	53000	001	405200			Census Tract 4052	37.805427	-122.244257	956285	0	4991	2570
080	00	06	53000	001	405300			Census Tract 4053	37.799977	-122.253969	413912	0	5838	3155
080	00	06	53000	001	405400			Census Tract 4054	37.795677	-122.248129	683461	0	8381	2910
080	00	06	53000	001	405500			Census Tract 4055	37.798827	-122.243216	419526	0	4147	1623
